,X.当周毛利,Y.次周毛利,Z.季度毛利,M．次周为当周倍数,N．季度为次周倍数,添加时间
bch_usd,0.00583897,0.00842402,0.11130913,1.44272487,13.21330338,2018-01-03 23:45:50
eth_usd,-0.00230709,-0.00086629,0.05124761,0.37549213,60.15727392,2018-01-03 23:45:50
btc_usd,0.00421745,0.00637558,0.07530154,1.51171199,11.8109401,2018-01-03 23:45:50
ltc_usd,0.003393,0.01293128,0.10084301,3.8111639,7.79837956,2018-01-03 23:45:35
etc_usd,-0.0021875,0.0069375,0.10796875,4.17142857,15.56306306,2018-01-03 23:45:35
bch_usd,0.00366866,0.00842402,0.11130913,2.29621053,13.21330338,2018-01-03 23:45:35
eth_usd,-0.00167748,-0.00055424,0.05157594,0.33039946,94.05737705,2018-01-03 23:45:35
btc_usd,0.00441112,0.00793842,0.07696148,1.79963926,9.69481333,2018-01-03 23:45:35
ltc_usd,0.003393,0.01293128,0.10084301,3.8111639,7.79837956,2018-01-03 23:45:26
etc_usd,-0.0015625,0.0069375,0.10796875,5.44,15.56306306,2018-01-03 23:45:26
bch_usd,0.00251014,0.00842402,0.11130913,3.356,13.21330338,2018-01-03 23:45:26
eth_usd,-0.00164573,-0.00052245,0.05160939,0.31746032,99.7826087,2018-01-03 23:45:26
btc_usd,0.00441112,0.00793842,0.07696148,1.79963926,9.69481333,2018-01-03 23:45:26
ltc_usd,0.00273735,0.01495263,0.10132231,5.46244477,6.77622001,2018-01-03 23:45:19
etc_usd,-0.00221875,0.0069375,0.10796875,4.12676056,15.56306306,2018-01-03 23:45:18
bch_usd,0.00251014,0.00842402,0.11130913,3.356,13.21330338,2018-01-03 23:45:18
eth_usd,-0.00256456,-0.00052586,0.0516058,0.20504872,99.13606911,2018-01-03 23:45:18
btc_usd,0.00487722,0.00793842,0.07717697,1.6276509,9.72195774,2018-01-03 23:45:18
ltc_usd,0.00265672,0.01495263,0.10132231,5.62822458,6.77622001,2018-01-03 23:45:06
etc_usd,-0.00275,0.0069375,0.10796875,3.52272727,15.56306306,2018-01-03 23:45:06
bch_usd,0.00251014,0.00842402,0.11130913,3.356,13.21330338,2018-01-03 23:45:06
eth_usd,-0.00223477,-0.00071313,0.05056278,0.31910569,71.90286624,2018-01-03 23:45:06
btc_usd,0.00740141,0.00953012,0.07730335,1.28760983,8.11147472,2018-01-03 23:45:06
ltc_usd,0.00550981,0.01473582,0.10037767,2.67446964,6.81181619,2018-01-03 23:44:58
etc_usd,-0.003125,0.0035625,0.10796875,2.14,30.30701754,2018-01-03 23:44:58
bch_usd,0.00483877,0.00842402,0.11130913,1.74094174,13.21330338,2018-01-03 23:44:58
eth_usd,-0.00210106,-0.00057921,0.05070357,0.27567568,88.53921569,2018-01-03 23:44:58
btc_usd,0.00613662,0.00974319,0.07753072,1.58771361,7.95742507,2018-01-03 23:44:58
ltc_usd,0.0055063,0.01557495,0.10128763,2.82857143,6.5032375,2018-01-03 23:44:45
etc_usd,-0.00112824,0.00645606,0.11116334,6.72222222,17.2184466,2018-01-03 23:44:45
bch_usd,0.00565432,0.00924248,0.1122111,1.63458647,12.14079619,2018-01-03 23:44:45
eth_usd,-0.00178929,-0.00026697,0.05103183,0.14920635,192.14893617,2018-01-03 23:44:45
btc_usd,0.00613729,0.00974386,0.07752547,1.58765005,7.95633812,2018-01-03 23:44:44
ltc_usd,0.00603127,0.01566919,0.10138981,2.59799331,6.47064882,2018-01-03 23:44:39
etc_usd,-0.00112824,0.00645606,0.11423467,6.72222222,17.69417476,2018-01-03 23:44:39
bch_usd,0.00293731,0.00924248,0.1122111,3.14657895,12.14079619,2018-01-03 23:44:39
eth_usd,-0.00169062,-0.00016815,0.05113572,0.09946237,305.10135135,2018-01-03 23:44:39
btc_usd,0.00811974,0.01015216,0.0796158,1.25030665,7.84224984,2018-01-03 23:44:39
ltc_usd,0.00211787,0.01560773,0.10124249,7.36952381,6.48668907,2018-01-03 23:44:26
etc_usd,-0.00188041,0.00645606,0.11423467,4.43333333,17.69417476,2018-01-03 23:44:26
bch_usd,0.00183814,0.00924248,0.11266445,5.02817494,12.18984695,2018-01-03 23:44:26
eth_usd,-0.002236,-0.00303133,0.05129507,1.35569106,17.92166417,2018-01-03 23:44:26
btc_usd,0.0079534,0.01027693,0.07970665,1.29214327,7.75588007,2018-01-03 23:44:26
ltc_usd,0.00389309,0.01224004,0.10541604,3.14404145,8.61239288,2018-01-03 23:44:17
etc_usd,-0.00191175,0.00645606,0.11426601,4.37704918,17.69902913,2018-01-03 23:44:16
bch_usd,0.00160045,0.00924248,0.11266445,5.77493359,12.18984695,2018-01-03 23:44:16
eth_usd,-0.00224167,-0.00303699,0.0512891,1.35478966,17.88814067,2018-01-03 23:44:16
btc_usd,0.00871238,0.00986171,0.07954881,1.13191847,8.06643286,2018-01-03 23:44:16
ltc_usd,0.00389309,0.01224004,0.10130913,3.14404145,8.27686223,2018-01-03 23:44:07
etc_usd,-0.00191175,0.00645606,0.1108186,4.37704918,17.16504854,2018-01-03 23:44:07
bch_usd,0.00571075,0.00791721,0.11266445,1.38636979,14.23031486,2018-01-03 23:44:07
eth_usd,-0.00224167,-0.00303699,0.0512891,1.35478966,17.88814067,2018-01-03 23:44:07
btc_usd,0.00700662,0.00960467,0.07958104,1.37079932,8.28566482,2018-01-03 23:44:07
ltc_usd,0.00388094,0.01222779,0.1012958,3.15072765,8.28406467,2018-01-03 23:43:58
etc_usd,-0.00329071,0.00645606,0.1108186,2.96190476,17.16504854,2018-01-03 23:43:58
bch_usd,0.00270812,0.00169668,0.1108039,0.62651634,65.30615034,2018-01-03 23:43:58
eth_usd,-0.00340625,-0.00178606,0.0512891,0.52434957,29.71628499,2018-01-03 23:43:58
btc_usd,0.00587935,0.00848841,0.0777939,1.44376625,9.16472246,2018-01-03 23:43:58
ltc_usd,0.00347367,0.01228088,0.10135356,3.53542393,8.25295664,2018-01-03 23:43:46
etc_usd,-0.00369813,0.00645606,0.1108186,2.74576271,17.16504854,2018-01-03 23:43:46
bch_usd,-0.0001546,0.00169668,0.10780088,11.975,63.53621868,2018-01-03 23:43:46
eth_usd,-0.00290778,-0.00128679,0.05181492,0.44253323,41.26678445,2018-01-03 23:43:46
btc_usd,0.00812004,0.00990137,0.07949623,1.21937439,8.02880935,2018-01-03 23:43:46
ltc_usd,0.00346963,0.01228088,0.10135356,3.53953488,8.25295664,2018-01-03 23:43:37
etc_usd,-0.001664,0.0082572,0.11415654,5.96226415,13.82509506,2018-01-03 23:43:37
bch_usd,0.00266772,0.00878466,0.11333552,3.29294101,12.90153182,2018-01-03 23:43:37
eth_usd,-0.00290778,-0.00128679,0.05181492,0.44253323,41.26678445,2018-01-03 23:43:36
btc_usd,0.00688685,0.00935204,0.07925793,1.35795674,8.47493422,2018-01-03 23:43:36
ltc_usd,0.00166552,0.01185224,0.1008872,7.11622276,8.51207894,2018-01-03 23:43:27
etc_usd,-0.00156981,0.0082572,0.11415654,6.26,13.82509506,2018-01-03 23:43:27
bch_usd,0.0003484,0.00220448,0.11210394,6.32741398,50.85283284,2018-01-03 23:43:27
eth_usd,-0.00262661,-0.00100516,0.05144293,0.38268398,52.17873303,2018-01-03 23:43:26
btc_usd,0.00543313,0.00566456,0.07532107,1.04259486,13.29690068,2018-01-03 23:43:26
ltc_usd,0.00218279,0.01235031,0.1014291,5.65804067,8.2126756,2018-01-03 23:43:15
etc_usd,-0.00150702,0.0082572,0.11362281,6.47916667,13.76045627,2018-01-03 23:43:15
bch_usd,0.00150806,0.00220448,0.11210394,1.46179487,50.85283284,2018-01-03 23:43:15
eth_usd,-0.00262094,-0.00099948,0.05144891,0.3813449,52.47554039,2018-01-03 23:43:15
btc_usd,0.00530143,0.00553283,0.07444946,1.04364731,13.45595481,2018-01-03 23:43:15
ltc_usd,0.00222323,0.01239116,0.10147354,5.57350272,8.18918919,2018-01-03 23:43:08
etc_usd,-0.00150702,0.0082572,0.11362281,6.47916667,13.76045627,2018-01-03 23:43:08
bch_usd,0.00150806,0.00220448,0.11210394,1.46179487,50.85283284,2018-01-03 23:43:08
eth_usd,-0.00293838,-0.00131744,0.05111426,0.4483559,39.79810181,2018-01-03 23:43:08
btc_usd,0.00403475,0.00553283,0.07444946,1.37129202,13.45595481,2018-01-03 23:43:08
ltc_usd,0.00396147,0.01218696,0.10157813,3.07637475,8.33498841,2018-01-03 23:42:56
etc_usd,-0.00150702,0.00693856,0.11362281,5.60416667,16.37556561,2018-01-03 23:42:56
bch_usd,0.00150806,0.00220448,0.11210394,1.46179487,50.85283284,2018-01-03 23:42:56
